batch_id,legacy_code,affected_row_count,current_target_code,current_resolution_type,current_confidence,candidate_rank,candidate_code,candidate_confidence,candidate_heuristic,review_status,approved_target_code,review_notes
cao50001-live-refresh,運費,1,UNKNOWN,unknown,0.00,,,,,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,000,2,UNKNOWN,unknown,0.00,1,0000,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,000,2,UNKNOWN,unknown,0.00,2,0001,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,000,2,UNKNOWN,unknown,0.00,3,0005,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,000,2,UNKNOWN,unknown,0.00,4,0006,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,000,2,UNKNOWN,unknown,0.00,5,1000VC 31-28,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,225L*22M/M,1,UNKNOWN,unknown,0.00,,,,,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,23100-0040,5,UNKNOWN,unknown,0.00,1,0000,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,23100-0040,5,UNKNOWN,unknown,0.00,2,004,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,23100-9010-M1,4,UNKNOWN,unknown,0.00,1,009,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,23100-9010-M1,4,UNKNOWN,unknown,0.00,2,010,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,23100GAKA9010,2,UNKNOWN,unknown,0.00,1,010,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,3V-0630-M,1,UNKNOWN,unknown,0.00,,,,,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,3V-0710-M,3,UNKNOWN,unknown,0.00,,,,,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,3V0710-2,27,UNKNOWN,unknown,0.00,1,3V0710-2R,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,3V0750-2,21,UNKNOWN,unknown,0.00,,,,,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
cao50001-live-refresh,3V0800-1,6,UNKNOWN,unknown,0.00,1,001,0.60,normalized-substring,,,Seeded from tbsslipdtx.col_7 orphan analysis; retained on UNKNOWN until an analyst approves a mapping.
