product_code,product_name,category,disposition,review_reason,approval_action,product_id,warehouse_id,gap,expected_adjustment_sum,actual_stock,proposed_quantity_change,correction_id,reason_breakdown,as_of_day
0000,折讓,Non-Merchandise,actionable,,,00c36dc5-1f5e-5001-9059-20de0581a7ea,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-18470,-22797,-4327,18470,375d2e51-6213-5ca7-a720-6d4312ae1657,"SALES_RESERVATION=-22809, SUPPLIER_DELIVERY=12",2026-04-17
PP0103,平面帶 1*3P,Flat / Specialty Belts,actionable,,,14d1168c-6c89-5ab1-af15-d9b3f0c3ae78,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-17409,-17409,0,17409,4f3efe4b-596e-5a9a-a1be-313153e1a280,"SALES_RESERVATION=-71463, SUPPLIER_DELIVERY=54054",2026-04-17
PM038,三角皮帶 M-38,V-Belts,actionable,,,dfd0f64f-04dd-53c7-890b-cbcc6f61d392,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-13222,-12124,1098,13222,49497fdd-eff0-57e5-9b32-ab8caef47d50,"SALES_RESERVATION=-388336, SUPPLIER_DELIVERY=376212",2026-04-17
PP0143,平面帶 11/2*3P,Flat / Specialty Belts,actionable,,,cb9327f6-c2d1-5656-9476-866a04b3d59a,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-8866,-8773,93,8866,52f12a5f-bcba-5a51-ad28-825603824522,"SALES_RESERVATION=-27897, SUPPLIER_DELIVERY=19124",2026-04-17
PP0203,平面帶 2*3P,Flat / Specialty Belts,actionable,,,a6e7dccc-f49a-525b-9623-5d11c27a84fd,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-8431,-8431,0,8431,13485f3c-3ee8-5254-ab80-608e3e39e11a,"SALES_RESERVATION=-101161, SUPPLIER_DELIVERY=92730",2026-04-17
PM029,三角皮帶 M-29,V-Belts,actionable,,,0ade0c17-093a-58b7-bfea-ba2723eeadb9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,7381,7594,213,-7381,5242a5a4-213a-5958-8a6c-308564ad700b,"SALES_RESERVATION=-18490, SUPPLIER_DELIVERY=26084",2026-04-17
PM051,三角皮帶 M-51,V-Belts,actionable,,,e36027ca-6ac1-58a7-9077-7dd2a82d57c2,26c77257-0dee-5c1a-a0aa-62ffa0603a01,6920,7065,145,-6920,d9c24b6a-943a-5f89-adba-8b42cf855ade,"SALES_RESERVATION=-11613, SUPPLIER_DELIVERY=18678",2026-04-17
PM024,三角皮帶 M-24,V-Belts,actionable,,,9f5a98e4-79bf-57ef-8bae-b9c8da3241cb,26c77257-0dee-5c1a-a0aa-62ffa0603a01,6681,6882,201,-6681,4a07f790-a3b2-5ea9-ad21-32c403c938aa,"SALES_RESERVATION=-15093, SUPPLIER_DELIVERY=21975",2026-04-17
001,運費,Non-Merchandise,actionable,,,b204388e-1823-5795-a349-461b7277b0fb,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-5371,-5373,-2,5371,fc8b8c50-2024-5622-a26b-825fedf9ac82,"SALES_RESERVATION=-6631, SUPPLIER_DELIVERY=1258",2026-04-17
PPPPP,橡膠帶,Belt Supplies,actionable,,,4b2c889d-6aa0-535a-90cd-3ca15054129b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-5209,-5209,0,5209,057edcdc-a83c-5ad4-9f0d-bce4d4bf8b7e,"SALES_RESERVATION=-15240, SUPPLIER_DELIVERY=10031",2026-04-17
PK019,三角皮帶 K-19,V-Belts,actionable,,,edbfc5f8-950d-5670-9496-b6796f089d35,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-5183,-4990,193,5183,397e6571-b964-5952-bac3-55d34abb1382,"SALES_RESERVATION=-3181, SUPPLIER_DELIVERY=-1809",2026-04-17
PM018,三角皮帶 M-18,V-Belts,actionable,,,ae3b5cad-ea23-595e-a7f3-afff00b347b4,26c77257-0dee-5c1a-a0aa-62ffa0603a01,4819,4930,111,-4819,aecf4e40-d38c-5147-80a1-aa9c03019b17,"SALES_RESERVATION=-5476, SUPPLIER_DELIVERY=10406",2026-04-17
8M-640*28M/M,8M-640*28M/M,Timing Belts,actionable,,,0d0acecc-fab7-5e32-a74e-3dde0e41eaf9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-4268,-4268,0,4268,7bbcdb2b-ac21-5e3c-bb12-e7a707310a75,"SALES_RESERVATION=-6914, SUPPLIER_DELIVERY=2646",2026-04-17
PP0163,平面帶 13/4*3P,Flat / Specialty Belts,actionable,,,efe02c21-49bb-578a-a230-7e374e33af78,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-4268,3525,7793,4268,95c740cc-93ce-5e88-9213-2cd40dc966dd,"SALES_RESERVATION=-7691, SUPPLIER_DELIVERY=11216",2026-04-17
PP0144,平面帶 11/2*4P,Flat / Specialty Belts,actionable,,,f6e6df2d-0a91-5049-ac01-16d7b1175717,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3953,-3953,0,3953,6650274e-6ced-52e1-aadd-cdb4fac8053a,"SALES_RESERVATION=-14843, SUPPLIER_DELIVERY=10890",2026-04-17
PP0104,平面帶 1*4P,Flat / Specialty Belts,actionable,,,bd939a03-dc02-5f67-b9b5-67ae33a48a2b,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3785,-3785,0,3785,cb1cdde4-b06f-569d-858b-1fb5e716906b,"SALES_RESERVATION=-10385, SUPPLIER_DELIVERY=6600",2026-04-17
PP0303,平面帶 3*3P,Flat / Specialty Belts,actionable,,,0859598b-2f8e-58c3-9232-e28ce64652fc,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3697,-3697,0,3697,cad56999-d2a2-51d2-a9ad-b1e5d13638a6,"SALES_RESERVATION=-12251, SUPPLIER_DELIVERY=8554",2026-04-17
PA040,三角皮帶 A-40,V-Belts,actionable,,,68534c65-422d-532f-9434-523c3a418826,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3496,-2984,512,3496,bfdd25ce-58d7-5c22-b9d6-8ca36ff0baef,"SALES_RESERVATION=-65685, SUPPLIER_DELIVERY=62701",2026-04-17
PM042,三角皮帶 M-42,V-Belts,actionable,,,301756dc-02fe-5594-9b0b-af83c7022858,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3365,-3011,354,3365,adced473-8ac0-537b-80a8-b0f0e792cc30,"SALES_RESERVATION=-56871, SUPPLIER_DELIVERY=53860",2026-04-17
PP0123,平面帶 11/4*3P,Flat / Specialty Belts,actionable,,,589532aa-0d85-5db1-8f12-646811e95489,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-3024,-3024,0,3024,a8abe34c-29a3-55f5-952e-9f18107bcd65,"SALES_RESERVATION=-23191, SUPPLIER_DELIVERY=20167",2026-04-17
PP0164,平面帶 13/4*4P,Flat / Specialty Belts,actionable,,,2d74c421-a746-5dc5-857d-4a58ecdbc3d9,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2980,-351,2629,2980,220abd05-01e3-53ae-88a2-abd58511bd6d,"SALES_RESERVATION=-3651, SUPPLIER_DELIVERY=3300",2026-04-17
PP0244,平面帶 2.1/2*4P,Flat / Specialty Belts,actionable,,,ce5e52b8-cfcb-5f30-a55b-3d7de651a6d3,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2936,-2986,-50,2936,0e461e6a-f828-5dd3-8f68-e145892703c0,"SALES_RESERVATION=-39016, SUPPLIER_DELIVERY=36030",2026-04-17
PP0404,平面帶 4*4P,Flat / Specialty Belts,actionable,,,7a58006a-dba2-51b3-a75e-9610018d4e26,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2931,-2931,0,2931,6ce15756-5028-57a3-a32d-7ac1a7c924fd,"SALES_RESERVATION=-7928, SUPPLIER_DELIVERY=4997",2026-04-17
PP0124,平面帶 11/4*4P,Flat / Specialty Belts,actionable,,,c9b71e58-4d16-50c9-bbca-55ef63797a44,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2888,-1943,945,2888,383d7fd4-c9e1-5b0a-8a8d-aa03eaa3d228,"SALES_RESERVATION=-14531, SUPPLIER_DELIVERY=12588",2026-04-17
3NW-17641-00,3NW- 凌風90,Vehicle Belts,actionable,,,a281092d-f3a7-574a-90b3-07e38c0a4785,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2612,-2612,0,2612,58133797-4f96-59ea-ad59-496e731f5a5c,"SALES_RESERVATION=-12253, SUPPLIER_DELIVERY=9641",2026-04-17
PK020,三角皮帶 K-20,V-Belts,actionable,,,0014b2a2-e656-58bc-8dd2-e28236a9498c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,2517,2603,86,-2517,305e547a-b950-5d74-9205-7d7e4f0e8728,"SALES_RESERVATION=-2196, SUPPLIER_DELIVERY=4799",2026-04-17
PP0403,平面帶 4*3P,Flat / Specialty Belts,actionable,,,8a7fdd2f-d38b-511c-9791-4312ad5d1f90,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2370,-1380,990,2370,953061ee-1b33-5222-9bcf-7680bb9fb2d7,"SALES_RESERVATION=-4020, SUPPLIER_DELIVERY=2640",2026-04-17
PA041,三角皮帶 A-41,V-Belts,actionable,,,b90e1b99-2617-5c7e-a02a-9cb805a00461,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2171,-1380,791,2171,4d0285aa-92c1-522f-8c7c-887966de92ed,"SALES_RESERVATION=-68439, SUPPLIER_DELIVERY=67059",2026-04-17
PA038,三角皮帶 A-38,V-Belts,actionable,,,f294d57d-146a-50dd-a2c2-2d6a7ca154f6,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2077,-1631,446,2077,aa2c675d-c97a-59ce-acf3-74deb6e00c65,"SALES_RESERVATION=-56964, SUPPLIER_DELIVERY=55333",2026-04-17
YM041,黃色 YM-41,Variable-Speed Belts,actionable,,,5664f435-53c6-56a2-b5e7-882ad80c131c,26c77257-0dee-5c1a-a0aa-62ffa0603a01,-2035,-1700,335,2035,1cfa47b4-7de3-5971-8dca-34e9aebceb07,"SALES_RESERVATION=-3796, SUPPLIER_DELIVERY=2096",2026-04-17
